@relation clima

@attribute data date 'dd/MM/yyyy'

@attribute direcao_vento integer
@attribute velocidade_vento real
@attribute velocidade_rajada real

@attribute insolacao_total real

@attribute dias_chuvosos integer
@attribute precipitacao_total real

@attribute temperatura_maxima real
@attribute temperatura_media real
@attribute temperatura_minima real

@attribute umidade_media real

@data
01/01/1961,5,2.717391,6,161.5,21,348.8,30.074194,25.738065,22.780645,81.895161
01/02/1961,5,2.988095,7,273.6,5,73.4,32.203571,26.690714,23.05,75.589286
01/03/1961,5,2.852688,7,273.1,9,22.7,31.870968,26.490968,22.948387,74.33871
01/04/1961,5,2.133333,6,226.8,5,66.7,31.04,25.715333,22.326667,76
01/05/1961,?,?,?,?,0,0,?,?,?,?
01/06/1961,23,1.842697,6,176.7,13,253.3,26.603333,22.072,19.223333,81.658333
01/07/1961,0,1.806452,6,207.4,13,98.6,26.129032,21.339355,18.335484,79.314516
01/08/1961,5,2.677419,6,257.9,3,10.3,28.009677,22.431613,18.925806,74.830645
01/09/1961,5,3.4,6,226.6,5,13.1,29.886667,24.344,20.966667,71.85
01/10/1961,5,2.408602,7,218.5,11,48.7,29.148387,24.550323,21.348387,75.193548
01/11/1961,5,3.3,8,206.2,8,49.3,29.846667,24.956,21.626667,73.883333
01/12/1961,5,3.107527,8,203.8,14,119.4,29.709677,25.249032,22.058065,76.75
01/01/1962,5,2.580645,14,199.3,15,177.3,30.706452,26.123871,22.732258,77.887097
01/02/1962,5,2.964286,6,146.9,8,47,31.082143,26.259286,23.232143,76.223214
01/03/1962,5,2.075269,7,250.7,14,29.4,31.351613,26.448387,22.970968,77.096774
01/04/1962,?,?,?,?,?,?,?,?,?,?
01/05/1962,23,2.98913,8,212.4,8,39.4,27.535484,23.12,20.064516,73.266129
01/06/1962,23,2.711111,7,176.1,10,23.2,24.92,20.816,18.133333,74.408333
01/07/1962,23,2.924731,14,190.7,12,65.4,24.9,20.894839,18.025806,76.5
01/08/1962,5,3,8,233.4,5,9,26.787097,22.078065,18.893548,73.629032
01/09/1962,5,3.411111,8,149.1,12,39.1,26.036667,22.274667,19.556667,77.425
01/10/1962,5,2.946237,10,130.8,16,72,26.854839,22.980645,20.106452,76.846774
01/11/1962,5,3.811111,10,205.9,10,80.9,28.306667,24.298,21.43,76.616667
01/12/1962,5,2.462366,7,145.8,22,287.2,28.683871,24.84,21.906452,81.104839
01/01/1963,5,3.268817,7,335.1,3,11.8,32.464516,27.044516,23.406452,72.370968
01/02/1963,0,2.416667,7,234,12,142.4,31.339286,26.233571,22.803571,77.125
01/03/1963,?,?,?,?,0,0,?,?,?,?
01/04/1963,23,2.544444,7,231.5,7,18.5,29.883333,25.311333,21.933333,73.45
01/05/1963,23,2.215054,8,245.2,7,48,27.777419,22.942581,19.516129,72.41129
01/06/1963,23,2.355556,8,186.2,10,77.6,25.886667,21.554,18.75,77.775
01/07/1963,23,2.580645,8,206.3,6,53.9,26.125806,21.224516,18.06129,76.08871
01/08/1963,5,2.88172,8,207.1,7,50.8,26.222581,21.487742,18.203226,73.830645
01/09/1963,5,3.344444,10,187.5,3,0.8,28.246667,23.288667,20.003333,74.15
01/10/1963,5,3.505376,8,158.3,8,16.3,28.687097,24.465806,21.63871,76.120968
01/11/1963,5,3.5,8,216.9,13,83,29.716667,25.441333,22.336667,77.216667
01/12/1963,23,3.849462,8,194.1,17,103.8,28.677419,24.70129,21.580645,75.862903
01/01/1964,0,2.376344,7,116.7,20,187.9,28.980645,24.93871,22.290323,82.524194
01/02/1964,?,?,?,?,?,?,?,?,?,?
01/03/1964,?,?,?,?,?,?,?,?,?,?
01/04/1964,?,?,?,?,?,?,?,?,?,?
01/05/1964,?,?,?,?,1,0.9,?,?,?,?
01/06/1964,23,2.8,10,178.9,11,54.8,25.993333,21.609333,18.75,79.025
01/07/1964,23,2.666667,8,135.7,17,95.3,23.587097,20.009677,17.587097,80.25
01/08/1964,5,2.580645,8,191.3,16,97.4,25.683871,21.546452,18.706452,80.75
01/09/1964,5,3.244444,8,187.6,16,75.8,26.116667,22.263333,19.41,78.408333
01/10/1964,0,2.419355,7,114,16,101.6,26.632258,22.993548,20.535484,82.516129
01/11/1964,23,3.466667,8,169.3,16,120.6,27.4,23.227333,20.28,75.65
01/12/1964,23,2.849462,14,116.2,21,178.4,29.306452,24.568387,21.532258,79.741935
01/01/1965,5,3.086022,7,228.1,14,123.4,29.983871,25.240645,22.035484,79.41129
01/02/1965,5,3.130952,7,187.3,9,129.9,31.953571,26.377857,23.135714,77.482143
01/03/1965,23,2.784946,7,158.9,15,105.1,30.916129,25.654839,22.596774,78.895161
01/04/1965,23,2.788889,8,213.3,10,31.5,29.833333,24.932,21.85,78.733333
01/05/1965,23,2.397849,8,192.4,10,112.3,28.222581,23.558065,20.677419,79.685484
01/06/1965,0,1.722222,8,188.5,11,56.3,27.14,22.604667,19.723333,80.725
01/07/1965,23,2.333333,8,186.5,12,54.7,26.558065,21.86,19.077419,78.887097
01/08/1965,5,3.010753,8,249.6,7,9.5,28.196774,23.056129,19.809677,75.16129
01/09/1965,5,2.811111,8,196.4,8,88.1,28.506667,23.683333,20.603333,76.525
01/10/1965,23,3.397849,14,154.6,17,98.9,27.635484,23.445161,20.625806,80.290323
01/11/1965,?,?,?,?,?,?,?,?,?,?
01/12/1965,5,3.413043,7,299.8,2,1.2,32.558065,27.085806,23.274194,73.120968
01/01/1966,5,2.602151,8,222.9,9,100,31.877419,26.827742,23.632258,76.233871
01/02/1966,5,4.071429,8,288.5,1,0.2,32.892857,27.454286,23.985714,71.491071
01/03/1966,5,2.870968,8,266.2,4,6.3,32.141935,26.996129,23.577419,72.467742
01/04/1966,23,2.688889,8,203.7,12,82.7,29.533333,24.796,21.753333,77.141667
01/05/1966,23,2.569892,8,181.6,15,116.9,27.770968,23.400645,20.567742,76.733871
01/06/1966,?,?,?,?,?,?,?,?,?,?
01/07/1966,23,2.380435,8,174.3,20,133.4,25.851613,21.519355,18.816129,81.129032
01/08/1966,23,3.086022,10,206.8,5,41.4,26.280645,21.639355,18.758065,77.967742
01/09/1966,5,3.577778,14,194.5,9,90.8,26.186667,21.803333,18.976667,76.166667
01/10/1966,5,2.974194,8,194.7,13,110.8,28.329032,24.009032,21.148387,78.540323
01/11/1966,5,2.633333,8,164.1,17,95.4,28.733333,24.280667,21.31,79.266667
01/12/1966,5,3.16129,8,249.4,7,64.2,31.822581,26.566452,23.080645,75.443548
01/01/1967,5,2.612903,6,273.4,15,85.8,32.280645,26.827097,23.451613,76.16129
01/02/1967,5,2.404762,8,252.5,9,64,32.35,27.15,23.660714,76.669643
01/03/1967,5,2.430108,7,260.1,9,145.6,32.151613,26.804516,23.441935,77.08871
01/04/1967,?,?,?,?,?,?,?,?,?,?
01/05/1967,23,2.304348,6,207.5,9,221,27.967742,23.556774,20.622581,78.024194
01/06/1967,0,1.988889,8,203.6,8,24.6,28.146667,23.220667,20.166667,76.8
01/07/1967,23,2.827957,8,214.1,7,32.3,26.609677,21.68,18.712903,75.427419
01/08/1967,5,3.021505,10,264.9,8,52.3,27.332258,22.384516,19.132258,77.056452
01/09/1967,5,3.722222,12,180.6,6,8.6,26.823333,22.692667,19.853333,73.783333
01/10/1967,5,3.688172,8,237.8,11,65.2,29.054839,24.367097,21.380645,75.379032
01/11/1967,5,2.666667,8,121,10,330.7,29.182759,24.513793,21.482759,80.353448
01/12/1967,23,2.782796,8,140.1,19,314.3,28.870968,24.246452,20.948387,79.387097
01/01/1968,5,2.956989,7,267.5,11,106.9,31.132258,25.749677,21.73871,77.475806
01/02/1968,?,?,?,?,7,101.7,?,?,?,?
01/03/1968,?,?,?,?,?,?,?,?,?,?
01/04/1968,?,?,?,?,?,?,?,?,?,?
01/05/1968,?,?,8,?,3,15.8,26.3,20.777647,17.370588,73.691176
01/06/1968,?,?,6,?,5,44.1,25.955,20.833,17.815,75.5875
01/07/1968,?,?,?,?,?,?,?,?,?,?
01/08/1968,?,?,?,?,?,?,?,?,?,?
01/09/1968,?,?,?,?,?,?,?,?,?,?
01/10/1968,?,?,?,?,?,?,?,?,?,?
01/11/1968,?,?,?,?,4,8.4,?,?,?,?
01/12/1968,5,2.623656,6,221.6,8,61.4,30.193548,25.609032,22.390323,76.975806
01/01/1969,5,3.010753,8,272.2,6,37,32.970968,26.995484,23.206452,73.83871
01/02/1969,5,2.77381,7,288.5,5,37.9,33.446429,27.751429,23.853571,71.6875
01/03/1969,5,2.774194,8,228.2,10,225.4,31.880645,26.443226,23.093548,76.354839
01/04/1969,?,?,?,?,?,?,?,?,?,?
01/05/1969,23,2.576087,10,210,7,106.9,28.519355,24.068387,20.735484,72.177419
01/06/1969,23,2.055556,7,182.1,10,327,26.356667,22.577333,19.43,76.458333
01/07/1969,23,2.322581,7,210.5,9,52.2,26.225806,22.163871,18.687097,72.685484
01/08/1969,23,2.698925,14,222.8,5,13.5,27.396774,22.448387,18.841935,73.58871
01/09/1969,5,2.944444,7,182.3,10,84.9,27.696667,23.331333,20.176667,74.916667
01/10/1969,23,3.290323,8,157.1,16,232.5,27.151613,23.257333,20.483871,75.591667
01/11/1969,?,?,?,?,?,?,?,?,?,?
01/12/1969,23,2.695652,8,135.2,19,218.9,28.354839,24.087742,21.058065,78.153226
01/01/1970,5,2.419355,8,197.3,20,177.9,30.090323,25.639355,22.46129,79.806452
01/02/1970,5,2.940476,9,239.7,6,47.7,31.403571,26.51,23.446429,77.428571
01/03/1970,5,2.537634,6,278.2,6,61.8,31.835484,26.699355,23.432258,76.75
01/04/1970,0,1.888889,6,191.4,15,90.6,29.48,24.902667,21.806667,78.358333
01/05/1970,23,2.236559,8,244.5,4,31.9,29.480645,24.345806,20.954839,77.153226
01/06/1970,23,2.244444,8,215.9,9,22.8,28.213333,23.484,20.25,75.158333
01/07/1970,23,2.129032,8,173.7,18,210.1,24.967742,21.054839,18.267742,79.435484
01/08/1970,23,2.16129,6,188.1,18,72.1,25.419355,21.633548,18.922581,80.524194
01/09/1970,23,2.333333,6,148.4,11,92.6,26.496667,22.644,19.753333,78.8
01/10/1970,23,2.365591,10,100.3,18,228.7,26.73871,23.230968,20.535484,81.709677
01/11/1970,23,2.266667,6,146.5,21,208.6,27.503333,23.870667,20.846667,80.7
01/12/1970,5,2.548387,8,281.2,11,42.7,31.870968,26.673548,22.980645,73.177419
01/01/1971,5,2.76087,6,320.8,9,16.5,33,27.319333,23.606452,71.733333
01/02/1971,5,2.630952,6,277.4,7,36.7,33.503571,27.410714,24.55,75.910714
01/03/1971,5,2.268817,6,236.7,11,79.9,32.196774,27.241935,23.967742,79.169355
01/04/1971,23,2.7,8,197.6,15,53.1,30.33,25.500667,22.733333,78.516667
01/05/1971,23,2.387097,9,242.2,9,50.1,28.470968,23.687742,21.064516,77.169355
01/06/1971,23,1.911111,5,173.7,11,102.3,26.95,21.592,19.383333,82.233333
01/07/1971,23,2.16129,6,205.3,10,129.2,26.590323,21.144516,18.606452,79.709677
01/08/1971,23,2.645161,6,196.3,14,98.5,26.903226,21.599355,19.048387,80.879032
01/09/1971,5,2.522222,8,154.8,13,159.5,26.63,22.138,19.58,81.925
01/10/1971,23,2.752688,9,133.5,23,203.3,26.277419,21.962581,19.525806,83.056452
01/11/1971,23,2.655556,6,78.6,23,468.5,26.04,23.004667,20.813333,86.358333
01/12/1971,0,2.16129,10,203.4,11,154.9,30.541935,25.999355,22.445161,80.467742
01/01/1972,5,2.569892,8,322,9,53.2,32.883871,27.362581,23.632258,74.104839
01/02/1972,5,2.390805,6,257.1,9,65.8,31.786207,26.39931,23.403448,75.25
01/03/1972,5,2.301075,7,252.1,9,18.8,32.858065,27.265161,23.783871,70.814516
01/04/1972,23,3.055556,8,182.7,16,140.8,28.566667,24.295333,21.683333,72.458333
01/05/1972,23,1.967742,6,233.9,10,80.4,27.690323,23.19871,20.309677,72.58871
01/06/1972,5,1.933333,6,252.4,4,62.7,28.426667,23.400667,20.566667,74.591667
01/07/1972,23,2,6,159.2,15,110.5,25.719355,21.870323,19.470968,75.209677
01/08/1972,23,2.688172,8,210.9,10,87.9,27.13871,22.512258,19.883871,73.741935
01/09/1972,5,2.555556,6,176.3,14,65.6,26.706667,22.702,20.04,73.358333
01/10/1972,5,2.537634,6,164.2,9,52.7,28.145161,23.843871,21.070968,74.314516
01/11/1972,23,2.566667,7,157.4,17,119.3,29.28,25.159333,22.373333,77.066667
01/12/1972,5,2.548387,8,199.4,14,176.6,29.9,25.723871,22.854839,80.806452
01/01/1973,5,2.11828,6,290.2,6,88.8,32.954839,27.641935,24.367742,75.096774
01/02/1973,5,2.166667,5,257.4,10,56.9,32.732143,27.89,24.842857,77.660714
01/03/1973,23,1.506452,6,184.5,17,262.1,30.470968,25.778065,23.080645,78.887097
01/04/1973,0,1.744444,5,248.7,12,118.9,31.15,26.273333,23.646667,80.458333
01/05/1973,23,1.656989,8,234.6,8,30.8,28.416129,23.40129,20.741935,73.274194
01/06/1973,0,1.371111,8,235.5,4,27.5,28.993333,23.602,20.92,75.45
01/07/1973,0,1.446237,10,210.2,13,27.8,27.470968,22.374839,19.970968,74.548387
01/08/1973,0,2.645161,8,219,4,40.3,26.935484,22.008387,19.596774,72.677419
01/09/1973,23,2.944444,8,159.3,15,86.9,26.656667,21.779333,19.276667,77.608333
01/10/1973,23,2.247312,8,125.3,19,194.3,26.419355,22.188387,19.587097,79.016129
01/11/1973,23,2.944444,9,109.7,15,96.2,26.823333,22.678,20.12,76.525
01/12/1973,5,2.989247,9,178.8,18,88.6,30.432258,25.38,22.680645,77.846774
01/01/1974,5,3.037634,11,247.1,19,182.7,31.219355,26.062581,23.341935,77.66129
01/02/1974,5,2.666667,7,243.1,12,90.2,31.571429,25.931429,22.982143,75.571429
01/03/1974,0,2.333333,7.5,185.8,19,170.1,30.467742,25.509032,22.935484,79.693548
01/04/1974,23,3.211111,8,225.5,11,93.8,29.303333,24.622667,22.006667,73.233333
01/05/1974,23,2.473118,10,204,16,95.8,27.76129,23.582581,21.067742,78.274194
01/06/1974,23,3.222222,11,221.7,7,9.2,26.526667,22.056667,18.993333,77.458333
01/07/1974,5,2.494624,8.5,243,8,24,26.941935,21.643226,18.145161,76.217742
01/08/1974,5,3.46129,11,207.8,5,13.7,27.13871,22.514,19.386667,73.362903
01/09/1974,5,2.601111,7.2,191.4,11,44.6,27.343333,23.084667,20.433333,77.775
01/10/1974,23,2.878495,10,151.7,17,215.9,27.76129,23.548387,20.796774,79.145161
01/11/1974,5,3.643333,9,224.4,11,183.9,29.03,24.692,21.443333,73.05
01/12/1974,5,3.419355,11,163.9,18,178.6,29.419355,25.077419,22.1,77.991935
01/01/1975,5,2.632258,7,209.2,16,204.7,30.203333,26.1328,22.930769,79.395161
01/02/1975,5,3.478571,9.5,222.1,9,94.8,32.7,27.480769,24.323077,76.267857
01/03/1975,0,2.367742,12,229.9,14,126,30.696667,26.596429,23.35,78.177419
01/04/1975,23,3.343333,9.5,213.3,9,35.6,28.67931,24.463448,21.248276,72.55
01/05/1975,23,4.306452,9.8,193.9,16,166.2,26.623333,22.756154,19.880769,76.766129
01/06/1975,23,3.295556,10.1,181.2,16,139.1,25.67,21.635714,19.007143,80.233333
01/07/1975,23,3.839785,10,194.6,13,61.7,25.203571,20.732593,17.707143,75.104839
01/08/1975,5,3.880645,8.1,274,8,13.5,27.709677,22.941935,19.741935,75.991935
01/09/1975,5,3.857778,11,177.4,12,143.9,26.596429,22.702963,19.748148,77.833333
01/10/1975,5,3.808602,8.6,135.6,21,267.9,27.822581,24.139231,21.419231,82.024194
01/11/1975,5,3.41,9.3,158.3,15,98.3,29.092593,25.0088,22.05,78.4
01/12/1975,5,2.731183,8,289.4,10,58.9,30.609677,25.942069,22.768966,75.064516
01/01/1976,5,3.526882,10,329.1,7,22.8,32.406452,27.072258,23.696774,71.508065
01/02/1976,36,4.777011,14,248.5,8,16.9,31.686207,26.816552,23.77931,72.405172
01/03/1976,5,3.533333,9.5,262.6,11,115.3,31.729032,26.688387,23.567742,74.08871
01/04/1976,36,3.636667,9.5,243.1,9,23.4,30.273333,25.507333,22.64,73.55
01/05/1976,23,3.404301,9.5,186.9,15,129.5,27.722581,23.426452,20.829032,79.169355
01/06/1976,5,2.98,8,212.1,5,6.1,28.05,23.072,20.09,75.875
01/07/1976,5,3.566667,10,179.7,20,125.1,25.912903,21.638065,19.051613,77.685484
01/08/1976,5,3.039785,10.1,208.2,9,55.7,27.341935,22.612903,19.66129,75.935484
01/09/1976,23,3.784444,10.8,109.5,20,145.9,26.253333,22.654,20.316667,81.008333
01/10/1976,23,4.858065,10.1,132.6,16,164.9,26.664516,22.889032,20.503226,78.185484
01/11/1976,36,3.773333,8.8,133.4,15,158.9,28.4,24.563333,21.813333,80.358333
01/12/1976,5,4.087097,8.3,105.6,18,279.8,30.129032,25.505806,22.36129,80.177419
01/01/1977,5,4.137634,10,223,18,114.7,31.1,26.492258,23.587097,77.112903
01/02/1977,36,3.142857,8.5,271.1,14,78.5,31.632143,26.971429,23.7,77.080357
01/03/1977,36,4.37957,11.5,251.3,3,8.9,33.383871,27.886452,24.548387,73.653226
01/04/1977,23,4.346667,11.6,152.4,8,221.7,29.933333,25.604,22.863333,77.241667
01/05/1977,23,3.145161,8,179.5,13,83.4,28.025806,23.448387,20.503226,76.104839
01/06/1977,36,3.378889,7.1,195.2,8,34.8,27.683333,23.1,20.293333,78.208333
01/07/1977,36,3.184946,8.3,211.3,12,34.5,27.941935,23.057419,19.883871,74.951613
01/08/1977,36,4.991398,10.1,?,3,9.1,27.483871,22.698065,19.403226,83.66129
01/09/1977,36,4.455556,10.1,141.6,15,112.2,25.55,22.465333,20.05,92.658333
01/10/1977,36,4.297849,8.3,172.2,16,133.3,27.329032,23.875484,21.225806,91.66129
01/11/1977,5,4.374444,12,99.7,22,268.4,27.913333,24.622,21.96,91.05
01/12/1977,23,4.54086,9.6,124.9,20,348.5,28.429032,24.889032,22.064516,90.653226
01/01/1978,36,5.147312,9.6,230.2,13,47.1,29.570968,25.936774,23.093548,89.282258
01/02/1978,36,4.517857,9.8,110.9,16,221,29.485714,25.728571,22.910714,90.178571
01/03/1978,36,3.625806,7.8,215.4,16,123.7,29.980645,26.131613,23.2,90.354839
01/04/1978,23,4.118889,12.8,172,16,103.1,27.823333,24.408,21.703333,91.408333
01/05/1978,36,3.732258,9.6,163.8,13,53,26.729032,23.25871,20.551613,92.370968
01/06/1978,23,3.487778,10,136.7,11,62.7,24.92,21.586,18.92,93.208333
01/07/1978,36,3.105376,8.1,165.4,17,328.3,25.767742,22.256774,19.370968,92.814516
01/08/1978,36,4.034409,10,207.4,10,100.8,26.248387,21.941935,18.870968,94.346774
01/09/1978,36,3.606667,10,122.2,17,122.6,25.61,22.320667,19.5,94.425
01/10/1978,36,4.743011,12.3,168.1,12,86.4,27.070968,23.65871,20.696774,94.362903
01/11/1978,36,5.327778,10.5,158.6,13,118.4,28.29,24.342,21.173333,93.108333
01/12/1978,36,4.841935,11.3,190.9,14,106,28.709677,25.225806,22.054839,92.5
01/01/1979,36,4.230952,10.5,78.5,18,392,27.382143,23.890714,21.232143,94.723214
01/02/1979,36,4.472464,9.3,?,10,190.2,28.847826,25.37913,22.321739,93.913043
01/03/1979,36,4.526437,10.6,153.4,14,176.5,28.603448,24.87931,21.768966,92.339286
01/04/1979,18,4.297701,10.1,169.1,10,28.7,28.168966,24.302069,21.213793,93
01/05/1979,36,4.213095,8.5,173,6,29,?,?,21.239286,93.759259
01/06/1979,23,3.357143,8.8,164.6,8,17.1,?,?,18.542857,91.741071
01/07/1979,36,3.972152,10.3,130,9,66.4,?,?,18.730769,93.403846
01/08/1979,36,4.352174,8.8,174,7,22.8,?,?,19.851613,92.741935
01/09/1979,36,5.5125,10,?,6,14.6,26.933333,23.538667,19.991667,91.125
